"Name","datamodule.dataset.dataset_name","module.network.model.restrict_logits","module.network.model_name","tags","_wandb","module.network.model.pooling","test/AUROC","test/MulticlassAccuracy"
"module.network.model_name: bird_aves","beans_humbugdb","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs110725""]","","just_cls","0.929558515548706","0.7057557702064514"
"module.network.model_name: biolingual","beans_humbugdb","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs110725""]","","just_cls","0.9230688810348512","0.7321140170097351"
"module.network.model_name: aves","beans_humbugdb","","aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""aves"",""rs110725""]","","just_cls","0.9468000531196594","0.7374932765960693"
"module.network.model_name: bird_aves","beans_bats","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs110725""]","","just_cls","0.8925811648368835","0.4819999933242798"
"module.network.model_name: bird_aves","beans_dogs","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs110725""]","","just_cls","0.7712621092796326","0.41726619005203247"
"module.network.model_name: bird_aves","beans_cbi","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs110725""]","","just_cls","0.8319252729415894","0.1035911589860916"
"module.network.model_name: bird_aves","beans_watkins","","bird_aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""bird_aves"",""rs110725""]","","just_cls","0.9561792016029358","0.6519173979759216"
"module.network.model_name: aves","beans_bats","","aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""aves"",""rs110725""]","","just_cls","0.884106457233429","0.4740000069141388"
"module.network.model_name: aves","beans_dogs","","aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""aves"",""rs110725""]","","just_cls","0.8723729252815247","0.6115108132362366"
"module.network.model_name: ProtoCLR","beans_bats","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""ProtoCLR"",""rs110725""]","","attentive","0.9432764053344728","0.6414999961853027"
"module.network.model_name: aves","beans_cbi","","aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""aves"",""rs110725""]","","just_cls","0.8398833274841309","0.07458563894033432"
"module.network.model_name: ProtoCLR","beans_humbugdb","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""ProtoCLR"",""rs110725""]","","attentive","0.9682762622833252","0.7789133787155151"
"module.network.model_name: ProtoCLR","beans_dogs","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""ProtoCLR"",""rs110725""]","","attentive","0.9934960603713988","0.8633093237876892"
"module.network.model_name: ProtoCLR","beans_cbi","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""ProtoCLR"",""rs110725""]","","attentive","0.976064682006836","0.639226496219635"
"module.network.model_name: aves","beans_watkins","","aves","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""aves"",""rs110725""]","","just_cls","0.9664351940155028","0.6932153105735779"
"module.network.model_name: ProtoCLR","beans_watkins","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""ProtoCLR"",""rs110725""]","","attentive","0.9789209365844728","0.7581120729446411"
"module.network.model_name: vit_inatsound","beans_humbugdb","","vit_inatsound","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""vit_inatsound"",""rs110725""]","","just_cls","0.93520849943161","0.6998386383056641"
"module.network.model_name: eat_ssl","beans_humbugdb","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""eat_ssl"",""rs110725""]","","just_cls","0.9630304574966432","0.7762237787246704"
"module.network.model_name: convnext_bs","beans_humbugdb","","convnext_bs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""convnext_bs"",""rs110725""]","","default","0.9622968435287476","0.771920382976532"
"module.network.model_name: BEATs_NatureLM","beans_humbugdb","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs_NatureLM"",""rs110725""]","","","0.9593532681465148","0.7681549191474915"
"module.network.model_name: BEATs","beans_humbugdb","","BEATs","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""BEATs"",""rs110725""]","","","0.9680178165435792","0.7880581021308899"
"module.network.model_name: audio_mae","beans_humbugdb","","audio_mae","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""audio_mae"",""rs110725""]","","just_cls","0.9199822545051576","0.7504034638404846"
"module.network.model_name: ProtoCLR","beans_bats","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""ProtoCLR"",""rs110725""]","","just_cls","0.9391303062438964","0.6365000009536743"
"module.network.model_name: ProtoCLR","beans_humbugdb","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""ProtoCLR"",""rs110725""]","","just_cls","0.9630396366119384","0.7729962468147278"
"module.network.model_name: ProtoCLR","beans_dogs","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""ProtoCLR"",""rs110725""]","","just_cls","0.9956243634223938","0.8920863270759583"
"module.network.model_name: ProtoCLR","beans_cbi","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""ProtoCLR"",""rs110725""]","","just_cls","0.9781532287597656","0.6544198989868164"
"module.network.model_name: ProtoCLR","beans_watkins","","ProtoCLR","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""ProtoCLR"",""rs110725""]","","just_cls","0.9832106232643129","0.7846607565879822"
"module.network.model_name: surfperch","beans_bats","false","surfperch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""surfperch"",""rs110725""]","","","0.8964544534683228","0.5609999895095825"
"module.network.model_name: surfperch","beans_humbugdb","false","surfperch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""surfperch"",""rs110725""]","","","0.9615328907966614","0.7509413957595825"
"module.network.model_name: surfperch","beans_dogs","false","surfperch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""surfperch"",""rs110725""]","","","0.9512443542480468","0.6546762585639954"
"module.network.model_name: surfperch","beans_cbi","false","surfperch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""surfperch"",""rs110725""]","","","0.9755308032035828","0.5941988825798035"
"module.network.model_name: surfperch","beans_watkins","false","surfperch","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""surfperch"",""rs110725""]","","","0.9874650239944458","0.8053097128868103"
"module.network.model_name: biolingual","beans_bats","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""biolingual"",""rs110725""]","","attentive","0.9493337869644164","0.6725000143051147"
"module.network.model_name: biolingual","beans_dogs","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""biolingual"",""rs110725""]","","attentive","0.9906572699546814","0.8992805480957031"
"module.network.model_name: biolingual","beans_cbi","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""biolingual"",""rs110725""]","","attentive","0.985366940498352","0.7392265200614929"
"module.network.model_name: biolingual","beans_watkins","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""biolingual"",""rs110725""]","","attentive","0.9912347793579102","0.8436577916145325"
"module.network.model_name: biolingual","beans_bats","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs110725""]","","just_cls","0.8945650458335876","0.5490000247955322"
"module.network.model_name: biolingual","beans_dogs","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs110725""]","","just_cls","0.9029259085655212","0.6187050342559814"
"module.network.model_name: eat_ssl","beans_bats","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""eat_ssl"",""rs110725""]","","attentive","0.960092544555664","0.699999988079071"
"module.network.model_name: eat_ssl","beans_dogs","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""eat_ssl"",""rs110725""]","","attentive","0.9882880449295044","0.8705036044120789"
"module.network.model_name: eat_ssl","beans_cbi","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""eat_ssl"",""rs110725""]","","attentive","0.9686824083328248","0.5113259553909302"
"module.network.model_name: eat_ssl","beans_watkins","","eat_ssl","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""eat_ssl"",""rs110725""]","","attentive","0.9873083233833312","0.8348082304000854"
"module.network.model_name: BEATs_NatureLM","beans_bats","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs_NatureLM"",""rs110725""]","","attentive","0.9684541821479796","0.7329999804496765"
"module.network.model_name: BEATs_NatureLM","beans_dogs","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs_NatureLM"",""rs110725""]","","attentive","0.9978107810020448","0.9280575513839722"
"module.network.model_name: BEATs_NatureLM","beans_cbi","","BEATs_NatureLM","[""biofoundation"",""BEANS"",""augmentations"",""attentive"",""BEATs_NatureLM"",""rs110725""]","","attentive","0.9889408946037292","0.7911602258682251"
"module.network.model_name: biolingual","beans_cbi","","biolingual","[""biofoundation"",""BEANS"",""augmentations"",""linearprobing"",""biolingual"",""rs110725""]","","just_cls","0.9421436190605164","0.39917126297950745"
